00:00.060 - 00:05.560:  Hello, this is the Global News Podcast from the BBC World Service with reports and analysis
00:05.560 - 00:12.560:  from across the world, the latest news seven days a week. BBC World Service podcasts are supported by advertising.
00:30.680 - 00:36.720:  Hi, I'm Hannah and I'm very excited to be hosting What in the World, a new daily podcast from the BBC World Service, where we try to help you make sense of the world around you.
00:59.500 - 01:04.520:  Of the big things that are happening, the small things that are happening and everything in between.
01:04.520 - 01:09.920:  Search for What in the World, wherever you get your BBC podcasts and hit subscribe.
01:11.960 - 01:14.640:  This is the Global News Podcast from the BBC World Service.
01:17.820 - 01:22.440:  I'm Robin Brandt and in the early hours of Friday the 11th of August, these are our main stories.
01:23.140 - 01:27.640:  Five US citizens have been freed from prison in Iran and moved to house arrest.
01:28.400 - 01:33.940:  Wildfires in Hawaii have been declared to be a disaster, allowing federal aid for the recovery effort.
01:34.520 - 01:41.800:  The President of Ivory Coast says he will deploy soldiers to potentially intervene in Niger, where the military seized power last month.
01:44.800 - 01:49.760:  Also in this podcast, Virgin Galactic has completed its first flight for paying customers.
01:50.300 - 01:55.040:  I watch the three of them go up for 90 minutes and return safely, back down to earth.
01:59.060 - 02:02.900:  We start with news from Iran about four Americans in prison there.
02:03.440 - 02:05.660:  They have left prison and have been moved to house arrest.
02:05.660 - 02:11.160:  A fifth man is said to have already been moved to conditions with fewer restrictions on his liberty.
02:11.780 - 02:14.780:  Talks have been taking place for years to secure their release.
02:14.780 - 02:23.440:  The US Secretary of State, Anthony Blinken, has just described their house detention as a positive step that he hoped would lead to their eventual return to the US.
02:23.500 - 02:33.640:  I asked our chief international correspondent at least who said, how significant this development is, given that there are no formal diplomatic relations between Tehran and Washington DC.
02:34.780 - 02:49.440:  It is a huge moment, President Biden and indeed President Obama before him, but certainly during President Biden's administration, he has made it a priority to bring home Americans who are in legal terms said to be wrongfully detained.
02:49.500 - 02:57.540:  When it comes to the United States and indeed other countries, including Russia, North Korea, it's seen that they are hostages to be used as bargaining chips.
02:58.060 - 03:01.160:  So there have been difficult negotiations for some time.
03:01.160 - 03:08.880:  There have been moments where we've had reports that they are close to a deal or that a deal was all but done and then fell apart.
03:08.880 - 03:14.500:  It's involved the state of Qatar, sometimes the Gulf State of Oman, sometimes Switzerland.
03:14.500 - 03:26.720:  But this announcement by the lawyer for one of the detained, C.M. Namazee, is the first sign that a deal is all but done.
03:26.780 - 03:33.200:  This is a rare, bright spot, but it could still be weeks before they are free.
03:33.420 - 03:40.400:  Well, that was going to be my next question. I mean, it clearly is a very gradual incremental process negotiations, possible move to house arrest.
03:40.740 - 03:44.280:  What's the expectation on if and when they will actually be allowed to leave Iran?
03:44.280 - 04:02.460:  So what we understand so far and it has to be confirmed officially, but we have known that these elements have been in play for a very long time, is that in exchange for the freedom, for these dual Iranian-American citizens, the US will transfer some 6 billion dollars.
04:03.120 - 04:05.400:  Of Iran's frozen assets in South Korea.
04:05.820 - 04:13.460:  Those funds we put into account in the central bank in Qatar, because there will be criticism in the United States and why is Iran being given money?
